headline,abstract,date,category,emotion,source
China Tightens Wuhan Lockdown in ¡®Wartime¡¯ Battle With Coronavirus,With infections doubling every four days and more than 600,2020/2/6,covid-19,-1,nytimes
"China¡¯s Dominance of 5G Networks Puts U.S. Economic Future at Stake, Barr Warns",The attorney general said Chinese companies were winning the fight,2020/2/6, tech,1,nytimes
U.S. to Start Trade Talks With Kenya to Counter China¡¯s Influence,A deal would have a limited impact on the American,2020/2/6,politics ,-1,nytimes
China Begins Testing an Antiviral Drug in Coronavirus Patients,Patients in a clinical trial will receive a placebo or,2020/2/6,covid-19,1,nytimes
China - Foreign Policy,The Times sent a survey to the presidential candidates about,2020/2/7,politics ,0,nytimes
"An American Dies From the Virus in Wuhan, China","American officials say that for weeks, China has ignored all",2020/2/7,covid-19,-1,nytimes
Widespread Outcry in China Over Death of Coronavirus Doctor,"The doctor, Li Wenliang, had been silenced by the police",2020/2/7,covid-19,-1,nytimes
"From Starbucks to FedEx, Coronavirus Upends Businesses That Depend on China","The virus outbreak has rattled the global economy, disrupting supply",2020/2/7,covid-19,-1,nytimes
U.S. Divided Over Chinese Drone Bans,The Interior Department grounded its fleet over national security concerns.,2020/2/7,military ,-1,nytimes
¡®Should We Leave?¡¯ Life in China Under Coronavirus Lockdown,"We¡¯ve stopped changing out of our pajamas, and the days",2020/2/7,covid-19,-1,nytimes
C.D.C. and W.H.O. Offers to Help China Have Been Ignored for Weeks,"Privately, Chinese doctors say they need outside expertise. But Beijing,",2020/2/7,covid-19,-1,nytimes
"Deaths in China From Coronavirus Reach 811, Surpassing SARS Toll","The number of confirmed infections rose to 37,198, most of",2020/2/8,covid-19,-1,nytimes
Deaths in China Surpass Toll From SARS,More than 900 people have died from the new virus,2020/2/9,covid-19,-1,nytimes
"2020 Campaign, China, the Oscars: Your Weekend Briefing",Here¡¯s what you need to know about the week¡¯s top,2020/2/9,covid-19,0,nytimes
"A Grim Landmark as Official Death Toll in China Tops 1,000","President Xi Jinping, accused of being aloof amid the crisis,",2020/2/10,covid-19,-1,nytimes
U.S. Charges Chinese Military Officers in 2017 Equifax Hacking,The indictment suggests that the breach was part of a,2020/2/10,tech,-1,nytimes
¡®Like Europe in Medieval Times¡¯: Virus Slows China¡¯s Economy,Workers can¡¯t return to their jobs as supply lines get,2020/2/10,covid-19,-1,nytimes
Barr Announces Charges Against Chinese Military Officers,Attorney General William P. Barr said the U.S. charged four,2020/2/10,politics ,-1,nytimes
Chinese Hacking Is Alarming. So Are Data Brokers.,Companies like Equifax threaten our personal privacy and our national,2020/2/11,tech,-1,nytimes
"As Foreigners Flee China, Pakistan Tells Its Citizens to Stay","Pakistan has refused to evacuate 800 citizens in Wuhan, fearing",2020/2/11,covid-19,0,nytimes
Coronavirus Forces Foreign Students in China to Choose: Stay or Go,"As Americans and others flee Chinese universities, the crisis is",2020/2/12,covid-19,-1,nytimes
An American in a Locked Down Chinese Town: ¡®Everyone Here Is So Bored¡¯,"Policed by his neighbors and inundated with misinformation, Bob Huang",2020/2/13,covid-19,-1,nytimes
"With Harsh Words, China¡¯s Military Denies It Hacked Equifax",The People¡¯s Liberation Army said U.S. indictments accusing four of,2020/2/13,tech,0,nytimes
"As Virus Tightens Grip on China, the Art World Feels the Squeeze","Movie theaters have closed, art fairs have been canceled and",2020/2/13,covid-19,-1,nytimes
U.S. Faces Tough ¡®Great Game¡¯ Against China in Central Asia and Beyond,The Trump administration sees former Soviet republics in the heart,2020/2/13,politics ,0,nytimes
"U.S. Charges Huawei With Racketeering, Adding Pressure on China",The indictment is the Trump administration¡¯s latest move in its,2020/2/13,tech,-1,nytimes
The N.B.A. and China Are Showing Signs of Reconciliation,"They have been at odds since October, but the tension",2020/2/14,sports,-1,nytimes
"China¡¯s Doctors, Fighting the Coronavirus, Beg for Masks",Confronting a viral epidemic with a scant supply of protective,2020/2/14,covid-19,-1,nytimes
"To Tame Coronavirus, Mao-Style Social Control Blankets China","Despite their high-tech tools, the authorities are mainly relying on",2020/2/15,covid-19,-1,nytimes
Trump Administration Considering Halting Sales of Aircraft Parts to China,The review is part of a broader effort to restrict,2020/2/16,tech,-1,nytimes
Rate of New Fatalities Drops in China,"China¡¯s National Health Commission on Monday reported 2,048 new cases",2020/2/16,covid-19,-1,nytimes
Trump Effort to Keep U.S. Tech Out of China Alarms American Firms,The administration wants to protect national security by restricting the,2020/2/16,tech,-1,nytimes
"Slowed by the Coronavirus, China Inc. Struggles to Reopen","Some factories are firing up again, but with many workers",2020/2/17,covid-19,0,nytimes
Coronavirus Empties European Cities of Chinese Tourists,"Hotels, stores and destinations across the Continent have come to",2020/2/17,covid-19,0,nytimes
New Cases in China Appear to Be Slowing,The number of confirmed new cases in China appeared again,2020/2/18,covid-19,-1,nytimes
"In Coronavirus Fight, China Sidelines an Ally: Its Own People","The outbreak has exposed the powerlessness of private charities, civic",2020/2/18,covid-19,-1,nytimes
Trump Contradicts Advisers on China Technology Fears,"The president, in a series of tweets, said the U.S.",2020/2/18,tech,-1,nytimes
U.S. Designates China¡¯s Official Media as Operatives of the Communist State,The move is the latest in the Trump administration¡¯s efforts,2020/2/18,politics ,0,nytimes
"On Tour, Pompeo Courts Africa, to Counter China","Secretary of State Mike Pompeo, on his first visit to",2020/2/18,politics ,-1,nytimes
"Coronavirus Epidemic Keeps Growing, but Spread in China Slows",The World Health Organization said China¡¯s drastic limits on people¡¯s,2020/2/18,covid-19,1,nytimes
China Expels 3 Wall Street Journal Reporters as Media Relations Sour,Beijing said it had revoked their credentials over a headline,2020/2/19,politics(news),-1,nytimes
"Lesson of the Day: ¡®To Tame Coronavirus, Mao-Style Social Control Blankets China¡¯","In this lesson, students will learn about China¡¯s efforts to",2020/2/19,covid-19,-1,nytimes
Coronavirus Worsens U.S.-China Ties and Bolsters Hawks in Washington,But if hard-liners in the U.S. administration were hoping for,2020/2/19,covid-19,-1,nytimes
"Inside The Wall Street Journal, Tensions Rise Over ¡®Sick Man¡¯ China Headline",After China announced the expulsion of three of the paper¡¯s,2020/2/23,politics ,-1,nytimes
"For China¡¯s Overwhelmed Doctors, an Understanding Voice Across the Ocean","Erjing Cui, a Seattle psychotherapist, volunteers for Yong Xin Kang",2020/2/24,society ,-1,nytimes
Trump Administration Considers Punishing Chinese News Organizations,U.S. officials said they were looking at ways to retaliate,2020/2/25,politics(news),-1,nytimes
Eric Schmidt: I Used to Run Google. Silicon Valley Could Lose to China.,We can¡¯t win the technology wars without the federal government¡¯s,2020/2/27,tech,1,nytimes
"Virus Disrupts China¡¯s Shipping, and World Ports Feel the Impact","Even where factories are back in operation, getting freight to",2020/2/27,covid-19,-1,nytimes
"To Protect Global Health, Work With China",A senior Chinese official in Hong Kong on his government¡¯s,2020/2/28,politics ,1,nytimes
"China Spins Coronavirus Crisis, Hailing Itself as a Global Leader",The propaganda push suggests the Chinese government might be worried,2020/2/28,covid-19,-1,nytimes
U.S. Limits Chinese Staff at News Agencies Controlled by Beijing,The new rule could effectively force 60 Chinese citizens to,2020/3/2,politics(news),-1,nytimes
"Coronavirus, China¡¯s Quarantines, Super Tuesday: Your Tuesday Briefing",Here¡¯s what you need to know.,2020/3/2,covid-19,0,nytimes
China Stopped Its Economy to Tackle Coronavirus. Now the World Suffers.,The virtual shutdown of one of the world¡¯s biggest economies,2020/3/2,covid-19,-1,nytimes
Senator Rick Scott: ¡®Communist China Cannot Be Trusted¡¯,The Florida Republican takes strong issue with an Op-Ed article,2020/3/3,politics ,-1,nytimes
¡®A Slap in the Face¡¯: Chinese Readers Share Their Coronavirus Stories,One wrote about being asked to move out by a,2020/3/4,covid-19,-1,nytimes
Inside China¡¯s All-Out War on the Coronavirus,"Dr. Bruce Aylward, of the W.H.O., got a rare glimpse",2020/3/4,covid-19,0,nytimes
China¡¯s Battle Against Coronavirus: 7 Takeaways,"Dr. Bruce Aylward, leader of the team that visited China,",2020/3/4,covid-19,1,nytimes
U.S.-Backed Candidate for Global Tech Post Beats China¡¯s Nominee,Daren Tang of Singapore easily won the nomination to take,2020/3/4,politics ,-1,nytimes
How a Dating App Helped a Generation of Chinese Come Out of the Closet,"Blued, one of the biggest gay dating apps in the",2020/3/5,society ,-1,nytimes
China Pushes Back as Coronavirus Crisis Damages Its Image,The country is appealing for sympathy while attacking those who,2020/3/6,covid-19,0,nytimes
Why the Coronavirus Could Threaten the U.S. Economy Even More Than China¡¯s,"If people stop traveling and going to the dentist, the",2020/3/6,covid-19,0,nytimes
Florida Lobster Got a Break on China Tariffs. Then Came Coronavirus.,"China, the biggest customer, took aim at the U.S. catch",2020/3/6,covid-19,0,nytimes
Trump Administration Blocks Chinese Acquisition of Hotel Software Company,"The decision, based on national security concerns, is the latest",2020/3/6,politics ,1,nytimes
I¡¯m Chinese. That Doesn¡¯t Mean I Have Coronavirus.,"¡°If you¡¯re scared of me, get up and leave.¡±",2020/3/7,covid-19,1,nytimes
Coronavirus Spurs U.S. Efforts to End China¡¯s Chokehold on Drugs,The Trump administration says the U.S. is too dependent on,2020/3/11,covid-19,0,nytimes
"For Trump, a New Crisis and a Familiar Response: It¡¯s China¡¯s Fault, and Europe¡¯s",The president could have used the speech to talk about,2020/3/12,politics ,-1,nytimes
China Bought the West Time. The West Squandered It.,Why did so many countries watch the epidemic unfold for,2020/3/13,covid-19,-1,nytimes
China Spins Tale That the U.S. Army Started the Coronavirus Epidemic,"After criticizing American officials for politicizing the pandemic, Chinese officials",2020/3/13,covid-19,-1,nytimes
"The World Needs Masks. China Makes Them, but Has Been Hoarding Them.","As China grappled with the coronavirus, it kept the masks",2020/3/13,covid-19,-1,nytimes
U.S. Weighs Tariff Relief but Some Fear China Will Take Advantage,Politicians and business groups are sharply divided on what to,2020/3/15,business ,-1,nytimes
Coronavirus Could End China¡¯s Decades-Long Economic Growth Streak,The weakness raises the possibility that the Chinese economy may,2020/3/16,covid-19,-1,nytimes
China Announces That It Will Expel American Journalists,The announcement comes weeks after President Trump limited the number,2020/3/17,politics(news),-1,nytimes
China¡¯s Ill-Timed Attack on the Free Press,Reporting the truth is the only way to stop a,2020/3/18,politics(news),-1,nytimes
Trump Signs Relief Package; China Reports Zero New Local Infections,"Two congressmen tested positive for the virus, as work continued",2020/3/18,covid-19,1,nytimes
"Coronavirus, Italy, China: Your Wednesday Briefing",Here¡¯s what you need to know.,2020/3/18,covid-19,0,nytimes
"China Defends Expulsion of American Journalists, Accusing U.S. of Prejudice",An official said the expulsions were needed to defend China¡¯s,2020/3/18,politics(news),1,nytimes
"Its Coronavirus Cases Dwindling, China Turns Focus Outward",Beijing is mounting a humanitarian aid blitz in countries struggling,2020/3/18,covid-19,1,nytimes
"Ousting U.S. Reporters, China Signals Confidence in Its Own Message",Western media once served as a useful tool. Now Beijing,2020/3/18,politics(news),-1,nytimes
"Trump Defends Using ¡®Chinese Virus¡¯ Label, Ignoring Growing Criticism","¡°It¡¯s not racist at all,¡± the president said. But experts",2020/3/18,covid-19,-1,nytimes
China Hits a Coronavirus Milestone: No New Local Infections,All of the new cases reported on Thursday involved people,2020/3/19,covid-19,1,nytimes
"Coronavirus, China, Italy: Your Thursday Briefing",Here¡¯s what you need to know.,2020/3/19,covid-19,0,nytimes
World Feared China Over Coronavirus. Now the Tables Are Turned.,Asian countries that suffered through the pandemic first are working,2020/3/19,covid-19,1,nytimes
They Fled Coronavirus in Europe. Border Agents Asked if They¡¯d Visited China or Iran.,Americans returning from Italy and Spain say border control officials,2020/3/19,covid-19,-1,nytimes
"Chinese Copper, Italian Marble: Coronavirus Shipping Delays Hurt Developers",Work on residential and commercial projects is slowing as materials,2020/3/20,covid-19,-1,nytimes
"Western Universities Rely on China. After the Virus, That May Not Last.","In Britain, the United States and Australia, the coronavirus could",2020/3/21,covid-19,0,nytimes
¡®Astronaut¡¯ Families Stressed by Straddling 2 Worlds: China and Canada,"Transnational migrants who shuttle between Vancouver and China confront loneliness,",2020/3/21,tech,0,nytimes
Coronavirus Drives the U.S. and China Deeper Into Global Power Struggle,Many experts warn that an international health and economic crisis,2020/3/22,covid-19,0,nytimes
"The U.S. Needs China¡¯s Masks, as Acrimony Grows",Beijing has signaled a willingness to supply the U.S. as,2020/3/23,covid-19,0,nytimes
"Spit On, Yelled At, Attacked: Chinese-Americans Fear for Their Safety",As bigots blame them for the coronavirus and President Trump,2020/3/23,covid-19,-1,nytimes
"After the Fire, a Chinatown Museum Sifts Through What Survived",Families are celebrating hundreds of boxes of heirlooms that were,2020/3/23,society   ,1,nytimes
3 Newspapers Ask China to Reverse Decision to Expel American Journalists,"The publishers of The New York Times, The Wall Street",2020/3/24,politics(news),-1,nytimes
"On Russia-China Border, Selective Memory of Massacre Works for Both Sides",The countries agree a mass killing occurred on the Amur,2020/3/26,politics ,0,nytimes
"To Slow Virus, China Bars Entry by Almost All Foreigners","Beijing halted most international flights, making it hard for citizens",2020/3/26,covid-19,0,nytimes
U.S. Officials Push for Expelling Suspected Chinese Spies at Media Outlets,Trump administration officials are discussing taking action after China said,2020/3/26,politics(news),-1,nytimes
"As Virus Spreads, China and Russia See Openings for Disinformation",The two powers amplify discredited conspiracy theories and sow division,2020/3/28,covid-19,-1,nytimes
White House Airlifts Medical Supplies From China in Coronavirus Fight,Officials have teamed up with medical supply companies to speed,2020/3/29,covid-19,1,nytimes
"Coronavirus, New York, China: Your Monday Briefing",Here's what you need to know.,2020/3/30,covid-19,0,nytimes
"A Loyal Chinese Critic Vanishes, in a Blow to the Nation¡¯s Future","The sudden silence of Ren Zhiqiang, a vocal member of",2020/3/31,society   ,0,nytimes
"In Sudden Shift, U.S. and China Seek to Cooperate",Several of President Trump¡¯s top aides are advising him to,2020/4/2,politics ,1,nytimes
"C.I.A. Hunts for Authentic Virus Totals in China, Dismissing Government Tallies",Intelligence officials have told the White House for weeks that,2020/4/2,covid-19,0,nytimes
China Pushes for Quiet Burials as Coronavirus Death Toll Is Questioned,Officials are ?trying to curb expressions of grief and control,2020/4/3,covid-19,-1,nytimes
F.D.A. to Allow Use of KN95 Masks Approved by China,The masks are almost identical in performance to the N95,2020/4/3,covid-19,0,nytimes
How a Chinese-American Novelist Wrote Herself Into the Wild West,"C Pam Zhang¡¯s debut, ¡°How Much of These Hills Is",2020/4/4,society ,0,nytimes
"430,000 People Have Traveled From China to U.S. Since Coronavirus Surfaced","There were 1,300 direct flights to 17 cities before President",2020/4/4,covid-19,0,nytimes
"Coronavirus Strands China¡¯s Students, in a Dilemma for Beijing",The government fears returnees who have been studying abroad could,2020/4/5,covid-19,-1,nytimes
"Chinese-Americans, Facing Abuse, Unite to Aid Hospitals in Coronavirus Battle",Although many have weathered racist remarks and some physical attacks,2020/4/5,covid-19,-1,nytimes
China and the U.S. Must Cooperate Against Coronavirus,"This is a time for solidarity, collaboration and mutual support.",2020/4/5,covid-19,1,nytimes
China¡¯s Coronavirus Battle Is Waning. Its Propaganda Fight Is Not.,"After the pandemic subsides, whether Beijing is praised or pilloried",2020/4/8,covid-19,-1,nytimes
"While the World Spends on Coronavirus Bailouts, China Holds Back","Beijing has tried to protect jobs and spur lending, but",2020/4/9,covid-19,-1,nytimes
China Hawks in Congress See an Opportunity in Coronavirus,Lawmakers who have long lobbied for the United States to,2020/4/10,covid-19,0,nytimes
China Delays Mask and Ventilator Exports After Quality Complaints,"Chinese customs officials, facing accusations from Europe that some medical",2020/4/11,covid-19,-1,nytimes
